year,keyword,count,n_movies_with_keywords,pol_total,rate_per_movie,share_within_political
1970,anti_war,1,41,63,0.024390243902439025,0.015873015873015872
1970,artificial_intelligence_(a.i.),1,41,63,0.024390243902439025,0.015873015873015872
1970,bank_robbery,1,41,63,0.024390243902439025,0.015873015873015872
1970,birthday_party,1,41,63,0.024390243902439025,0.015873015873015872
1970,black_panther_party,1,41,63,0.024390243902439025,0.015873015873015872
1970,british_army,1,41,63,0.024390243902439025,0.015873015873015872
1970,campaign,1,41,63,0.024390243902439025,0.015873015873015872
1970,civil_war_veteran,1,41,63,0.024390243902439025,0.015873015873015872
1970,cold_war,1,41,63,0.024390243902439025,0.015873015873015872
1970,communism,1,41,63,0.024390243902439025,0.015873015873015872
1970,corruption,2,41,63,0.04878048780487805,0.031746031746031744
1970,costume_party,1,41,63,0.024390243902439025,0.015873015873015872
1970,dead_soldier,1,41,63,0.024390243902439025,0.015873015873015872
1970,deportation,1,41,63,0.024390243902439025,0.015873015873015872
1970,english_civil_war,1,41,63,0.024390243902439025,0.015873015873015872
1970,epic_battle,1,41,63,0.024390243902439025,0.015873015873015872
1970,french_army,1,41,63,0.024390243902439025,0.015873015873015872
1970,insurrection,1,41,63,0.024390243902439025,0.015873015873015872
1970,japanese_army,1,41,63,0.024390243902439025,0.015873015873015872
1970,korean_war,1,41,63,0.024390243902439025,0.015873015873015872
1970,low_budget,1,41,63,0.024390243902439025,0.015873015873015872
1970,marriage_crisis,2,41,63,0.04878048780487805,0.031746031746031744
1970,mexican_revolution,1,41,63,0.024390243902439025,0.015873015873015872
1970,military_officer,1,41,63,0.024390243902439025,0.015873015873015872
1970,military_spoof,1,41,63,0.024390243902439025,0.015873015873015872
1970,pacific_war,1,41,63,0.024390243902439025,0.015873015873015872
1970,parliament,1,41,63,0.024390243902439025,0.015873015873015872
1970,police,1,41,63,0.024390243902439025,0.015873015873015872
1970,police_brutality,2,41,63,0.04878048780487805,0.031746031746031744
1970,police_detective,1,41,63,0.024390243902439025,0.015873015873015872
1970,political_repression,1,41,63,0.024390243902439025,0.015873015873015872
1970,political_thriller,1,41,63,0.024390243902439025,0.015873015873015872
1970,poverty,1,41,63,0.024390243902439025,0.015873015873015872
1970,prison,3,41,63,0.07317073170731707,0.047619047619047616
1970,prison_escape,1,41,63,0.024390243902439025,0.015873015873015872
1970,second_war,1,41,63,0.024390243902439025,0.015873015873015872
1970,socialite_party,1,41,63,0.024390243902439025,0.015873015873015872
1970,soldier,2,41,63,0.04878048780487805,0.031746031746031744
1970,spy,1,41,63,0.024390243902439025,0.015873015873015872
1970,student_protest,1,41,63,0.024390243902439025,0.015873015873015872
